CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,40.0,50.0,0.0,0.0,3390.0,0.0
2,52.0,75.0,10.0,213.0,568.0,90.0
3,45.0,70.0,30.0,22.0,563.0,90.0
4,62.0,69.0,10.0,1030.0,1463.0,90.0
5,60.0,66.0,10.0,1154.0,1527.0,90.0
6,42.0,65.0,10.0,15.0,402.0,90.0
7,16.0,42.0,20.0,331.0,822.0,90.0
8,58.0,70.0,20.0,965.0,1340.0,90.0
9,34.0,60.0,20.0,2653.0,3280.0,90.0
10,28.0,70.0,10.0,2385.0,2976.0,90.0
11,35.0,66.0,10.0,2628.0,3113.0,90.0
12,35.0,69.0,10.0,2603.0,2952.0,90.0
13,25.0,85.0,20.0,1985.0,2412.0,90.0
14,22.0,75.0,30.0,2310.0,2659.0,90.0
15,22.0,85.0,10.0,1846.0,2365.0,90.0
16,20.0,80.0,40.0,2077.0,2514.0,90.0
17,20.0,85.0,40.0,1763.0,2264.0,90.0
18,18.0,75.0,20.0,2143.0,2638.0,90.0
19,15.0,75.0,20.0,1560.0,2083.0,90.0
20,15.0,80.0,10.0,1689.0,2144.0,90.0
21,30.0,50.0,10.0,10.0,645.0,90.0
22,30.0,56.0,20.0,2675.0,3288.0,90.0
23,28.0,52.0,20.0,12.0,505.0,90.0
24,14.0,66.0,10.0,1519.0,1926.0,90.0
25,25.0,50.0,10.0,23.0,368.0,90.0
26,22.0,66.0,40.0,2380.0,2787.0,90.0
27,8.0,62.0,10.0,1330.0,1919.0,90.0
28,23.0,52.0,10.0,93.0,484.0,90.0
29,4.0,55.0,20.0,1268.0,1785.0,90.0
30,20.0,50.0,10.0,168.0,787.0,90.0
31,20.0,55.0,10.0,170.0,595.0,90.0
32,10.0,35.0,20.0,585.0,1136.0,90.0
33,10.0,40.0,30.0,448.0,897.0,90.0
34,8.0,40.0,40.0,499.0,1030.0,90.0
35,8.0,45.0,20.0,1190.0,1661.0,90.0
36,5.0,35.0,10.0,666.0,1245.0,90.0
37,5.0,45.0,10.0,1076.0,1589.0,90.0
38,2.0,40.0,20.0,772.0,1329.0,90.0
39,0.0,40.0,30.0,890.0,1395.0,90.0
40,0.0,45.0,20.0,1036.0,1439.0,90.0
41,36.0,18.0,10.0,1612.0,2185.0,90.0
42,35.0,32.0,10.0,2599.0,3076.0,90.0
