CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,35.0,35.0,0.0,0.0,1000.0,0.0
2,41.0,49.0,10.0,0.0,974.0,10.0
3,35.0,17.0,7.0,0.0,972.0,10.0
4,55.0,45.0,13.0,0.0,967.0,10.0
5,55.0,20.0,19.0,620.0,860.0,10.0
6,15.0,30.0,26.0,0.0,969.0,10.0
7,25.0,30.0,3.0,345.0,585.0,10.0
8,20.0,50.0,5.0,0.0,968.0,10.0
9,10.0,43.0,9.0,323.0,563.0,10.0
10,55.0,60.0,16.0,329.0,569.0,10.0
11,30.0,60.0,16.0,485.0,725.0,10.0
12,20.0,65.0,12.0,146.0,386.0,10.0
13,50.0,35.0,19.0,0.0,975.0,10.0
14,30.0,25.0,23.0,639.0,879.0,10.0
15,15.0,10.0,20.0,32.0,272.0,10.0
16,30.0,5.0,8.0,118.0,358.0,10.0
17,10.0,20.0,19.0,203.0,443.0,10.0
18,5.0,30.0,2.0,682.0,922.0,10.0
19,20.0,40.0,12.0,286.0,526.0,10.0
20,15.0,60.0,17.0,204.0,444.0,10.0
21,45.0,65.0,9.0,504.0,744.0,10.0
22,45.0,20.0,11.0,0.0,971.0,10.0
23,45.0,10.0,18.0,332.0,572.0,10.0
24,55.0,5.0,29.0,146.0,386.0,10.0
25,65.0,35.0,3.0,656.0,896.0,10.0
26,65.0,20.0,6.0,716.0,956.0,10.0
27,45.0,30.0,17.0,0.0,978.0,10.0
28,35.0,40.0,16.0,60.0,300.0,10.0
29,41.0,37.0,16.0,65.0,305.0,10.0
30,64.0,42.0,9.0,132.0,372.0,10.0
31,40.0,60.0,21.0,187.0,427.0,10.0
32,31.0,52.0,27.0,0.0,972.0,10.0
33,35.0,69.0,23.0,599.0,839.0,10.0
34,53.0,52.0,11.0,24.0,264.0,10.0
35,65.0,55.0,14.0,0.0,953.0,10.0
36,63.0,65.0,8.0,630.0,870.0,10.0
37,2.0,60.0,5.0,41.0,281.0,10.0
38,20.0,20.0,8.0,0.0,968.0,10.0
39,5.0,5.0,16.0,234.0,474.0,10.0
40,60.0,12.0,31.0,33.0,273.0,10.0
41,40.0,25.0,9.0,279.0,519.0,10.0
42,42.0,7.0,5.0,334.0,574.0,10.0
43,24.0,12.0,5.0,25.0,265.0,10.0
44,23.0,3.0,7.0,543.0,783.0,10.0
45,11.0,14.0,18.0,167.0,407.0,10.0
46,6.0,38.0,16.0,29.0,269.0,10.0
47,2.0,48.0,1.0,452.0,692.0,10.0
48,8.0,56.0,27.0,48.0,288.0,10.0
49,13.0,52.0,36.0,0.0,962.0,10.0
50,6.0,68.0,30.0,401.0,641.0,10.0
51,47.0,47.0,13.0,0.0,973.0,10.0
52,49.0,58.0,10.0,281.0,521.0,10.0
53,27.0,43.0,9.0,0.0,978.0,10.0
54,37.0,31.0,14.0,332.0,572.0,10.0
55,57.0,29.0,18.0,568.0,808.0,10.0
56,63.0,23.0,2.0,560.0,800.0,10.0
57,53.0,12.0,6.0,519.0,759.0,10.0
58,32.0,12.0,7.0,356.0,596.0,10.0
59,36.0,26.0,18.0,740.0,980.0,10.0
60,21.0,24.0,28.0,0.0,972.0,10.0
61,17.0,34.0,3.0,672.0,912.0,10.0
62,12.0,24.0,13.0,214.0,454.0,10.0
63,24.0,58.0,19.0,113.0,353.0,10.0
64,27.0,69.0,10.0,34.0,274.0,10.0
65,15.0,77.0,9.0,154.0,394.0,10.0
66,62.0,77.0,20.0,49.0,289.0,10.0
67,49.0,73.0,25.0,523.0,763.0,10.0
68,67.0,5.0,25.0,228.0,468.0,10.0
69,56.0,39.0,36.0,575.0,815.0,10.0
70,37.0,47.0,6.0,108.0,348.0,10.0
71,37.0,56.0,5.0,728.0,968.0,10.0
72,57.0,68.0,15.0,198.0,438.0,10.0
73,47.0,16.0,25.0,0.0,967.0,10.0
74,44.0,17.0,9.0,234.0,474.0,10.0
75,46.0,13.0,8.0,622.0,862.0,10.0
76,49.0,11.0,18.0,0.0,962.0,10.0
77,49.0,42.0,13.0,212.0,452.0,10.0
78,53.0,43.0,14.0,730.0,970.0,10.0
79,61.0,52.0,3.0,322.0,562.0,10.0
80,57.0,48.0,23.0,307.0,547.0,10.0
81,56.0,37.0,6.0,728.0,968.0,10.0
82,55.0,54.0,26.0,314.0,554.0,10.0
83,15.0,47.0,16.0,0.0,966.0,10.0
84,14.0,37.0,11.0,0.0,968.0,10.0
85,11.0,31.0,7.0,354.0,594.0,10.0
86,16.0,22.0,41.0,0.0,966.0,10.0
87,4.0,18.0,35.0,307.0,547.0,10.0
88,28.0,18.0,26.0,314.0,554.0,10.0
89,26.0,52.0,9.0,214.0,454.0,10.0
90,26.0,35.0,15.0,718.0,958.0,10.0
91,31.0,67.0,3.0,320.0,560.0,10.0
92,15.0,19.0,1.0,0.0,964.0,10.0
93,22.0,22.0,2.0,18.0,258.0,10.0
94,18.0,24.0,22.0,729.0,969.0,10.0
95,26.0,27.0,27.0,0.0,977.0,10.0
96,25.0,24.0,20.0,0.0,975.0,10.0
97,22.0,27.0,11.0,0.0,974.0,10.0
98,25.0,21.0,12.0,523.0,763.0,10.0
99,19.0,21.0,10.0,0.0,968.0,10.0
100,20.0,26.0,9.0,263.0,503.0,10.0
101,18.0,18.0,17.0,725.0,965.0,10.0
