CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME
1,40.0,50.0,0.0,0.0,960.0,0.0
2,25.0,85.0,20.0,431.0,911.0,10.0
3,22.0,75.0,30.0,30.0,510.0,10.0
4,22.0,85.0,10.0,291.0,771.0,10.0
5,20.0,80.0,40.0,674.0,734.0,10.0
6,20.0,85.0,20.0,40.0,520.0,10.0
7,18.0,75.0,20.0,393.0,502.0,10.0
8,15.0,75.0,20.0,120.0,600.0,10.0
9,15.0,80.0,10.0,397.0,457.0,10.0
10,10.0,35.0,20.0,401.0,461.0,10.0
11,10.0,40.0,30.0,535.0,622.0,10.0
12,8.0,40.0,40.0,225.0,285.0,10.0
13,8.0,45.0,20.0,43.0,523.0,10.0
14,5.0,35.0,10.0,683.0,743.0,10.0
15,5.0,45.0,10.0,35.0,366.0,10.0
16,2.0,40.0,20.0,204.0,264.0,10.0
17,0.0,40.0,20.0,204.0,425.0,10.0
18,0.0,45.0,20.0,698.0,827.0,10.0
19,44.0,5.0,20.0,306.0,483.0,10.0
20,42.0,10.0,40.0,199.0,428.0,10.0
21,42.0,15.0,10.0,494.0,699.0,10.0
22,40.0,5.0,10.0,45.0,525.0,10.0
23,40.0,15.0,40.0,383.0,486.0,10.0
24,38.0,5.0,30.0,231.0,291.0,10.0
25,38.0,15.0,10.0,609.0,872.0,10.0
26,35.0,5.0,20.0,821.0,881.0,10.0
27,95.0,30.0,30.0,349.0,829.0,10.0
28,95.0,35.0,20.0,138.0,273.0,10.0
29,92.0,30.0,10.0,78.0,339.0,10.0
30,90.0,35.0,10.0,132.0,375.0,10.0
31,88.0,30.0,10.0,252.0,359.0,10.0
32,88.0,35.0,20.0,50.0,530.0,10.0
33,87.0,30.0,10.0,562.0,799.0,10.0
34,85.0,25.0,10.0,71.0,208.0,10.0
35,85.0,35.0,30.0,307.0,787.0,10.0
36,67.0,85.0,20.0,655.0,778.0,10.0
37,65.0,85.0,40.0,43.0,186.0,10.0
38,65.0,82.0,10.0,377.0,857.0,10.0
39,62.0,80.0,30.0,308.0,368.0,10.0
40,60.0,80.0,10.0,46.0,201.0,10.0
41,60.0,85.0,30.0,339.0,438.0,10.0
42,58.0,75.0,20.0,377.0,494.0,10.0
43,55.0,80.0,10.0,33.0,166.0,10.0
44,55.0,85.0,20.0,531.0,736.0,10.0
45,55.0,82.0,10.0,247.0,307.0,10.0
46,20.0,82.0,10.0,37.0,177.0,10.0
47,18.0,80.0,10.0,432.0,665.0,10.0
48,2.0,45.0,10.0,38.0,322.0,10.0
49,42.0,5.0,10.0,424.0,904.0,10.0
50,42.0,12.0,10.0,460.0,539.0,10.0
51,72.0,35.0,30.0,327.0,807.0,10.0
52,55.0,20.0,19.0,273.0,498.0,10.0
53,25.0,30.0,3.0,25.0,505.0,10.0
54,20.0,50.0,5.0,405.0,465.0,10.0
55,55.0,60.0,16.0,554.0,767.0,10.0
56,30.0,60.0,16.0,629.0,689.0,10.0
57,50.0,35.0,19.0,560.0,673.0,10.0
58,30.0,25.0,23.0,342.0,571.0,10.0
59,15.0,10.0,20.0,842.0,902.0,10.0
60,10.0,20.0,19.0,42.0,522.0,10.0
61,15.0,60.0,17.0,623.0,884.0,10.0
62,45.0,65.0,9.0,214.0,421.0,10.0
63,65.0,35.0,3.0,197.0,257.0,10.0
64,65.0,20.0,6.0,39.0,316.0,10.0
65,45.0,30.0,17.0,191.0,310.0,10.0
66,35.0,40.0,16.0,11.0,140.0,10.0
67,41.0,37.0,16.0,570.0,681.0,10.0
68,64.0,42.0,9.0,298.0,358.0,10.0
69,40.0,60.0,21.0,613.0,730.0,10.0
70,31.0,52.0,27.0,187.0,247.0,10.0
71,35.0,69.0,23.0,780.0,930.0,10.0
72,65.0,55.0,14.0,191.0,410.0,10.0
73,63.0,65.0,8.0,27.0,507.0,10.0
74,2.0,60.0,5.0,240.0,451.0,10.0
75,20.0,20.0,8.0,675.0,735.0,10.0
76,5.0,5.0,16.0,57.0,537.0,10.0
77,60.0,12.0,31.0,298.0,358.0,10.0
78,23.0,3.0,7.0,794.0,854.0,10.0
79,8.0,56.0,27.0,366.0,483.0,10.0
80,6.0,68.0,30.0,382.0,442.0,10.0
81,47.0,47.0,13.0,817.0,942.0,10.0
82,49.0,58.0,10.0,332.0,497.0,10.0
83,27.0,43.0,9.0,14.0,494.0,10.0
84,37.0,31.0,14.0,19.0,499.0,10.0
85,57.0,29.0,18.0,425.0,485.0,10.0
86,63.0,23.0,2.0,164.0,644.0,10.0
87,21.0,24.0,28.0,310.0,507.0,10.0
88,12.0,24.0,13.0,389.0,449.0,10.0
89,24.0,58.0,19.0,262.0,377.0,10.0
90,67.0,5.0,25.0,611.0,897.0,10.0
91,37.0,47.0,6.0,311.0,526.0,10.0
92,49.0,42.0,13.0,457.0,937.0,10.0
93,53.0,43.0,14.0,14.0,74.0,10.0
94,61.0,52.0,3.0,789.0,928.0,10.0
95,57.0,48.0,23.0,212.0,692.0,10.0
96,56.0,37.0,6.0,20.0,500.0,10.0
97,55.0,54.0,26.0,382.0,862.0,10.0
98,4.0,18.0,35.0,516.0,697.0,10.0
99,26.0,52.0,9.0,14.0,494.0,10.0
100,26.0,35.0,15.0,338.0,398.0,10.0
101,31.0,67.0,3.0,870.0,930.0,10.0
